Local time,Price,Volume,
09.01.2017 08:32:00.000,2274.89925,27.03,2274.744
09.01.2017 08:33:00.000,2274.94675,23.32,2274.89925
09.01.2017 08:34:00.000,2274.984,29.15,2274.94675
09.01.2017 08:35:00.000,2275.0795,17.49,2274.984
09.01.2017 08:36:00.000,2275.115,22.79,2275.0795
09.01.2017 08:37:00.000,2275.122,28.09,2275.115
09.01.2017 08:38:00.000,2275.0795,16.96,2275.122
09.01.2017 08:39:00.000,2275.22425,16.96,2275.0795
09.01.2017 08:40:00.000,2275.349,17.49,2275.22425
09.01.2017 08:41:00.000,2275.3545,17.49,2275.349
09.01.2017 08:42:00.000,2275.38175,24.91,2275.3545
09.01.2017 08:43:00.000,2275.38925,25.97,2275.38175
09.01.2017 08:44:00.000,2275.25225,21.73,2275.38925
09.01.2017 08:45:00.000,2274.93225,32.86,2275.25225
09.01.2017 08:46:00.000,2274.78725,28.62,2274.93225
09.01.2017 08:47:00.000,2274.9795,19.08,2274.78725
09.01.2017 08:48:00.000,2274.85425,28.62,2274.9795
09.01.2017 08:49:00.000,2274.48675,49.29,2274.85425
09.01.2017 08:50:00.000,2274.439,33.92,2274.48675
09.01.2017 08:51:00.000,2274.00925,40.28,2274.439
09.01.2017 08:52:00.000,2273.4915,43.99,2274.00925
09.01.2017 08:53:00.000,2273.294,37.63,2273.4915
09.01.2017 08:54:00.000,2273.26675,37.63,2273.294
09.01.2017 08:55:00.000,2273.47425,27.03,2273.26675
09.01.2017 08:56:00.000,2273.49175,33.92,2273.47425
09.01.2017 08:57:00.000,2273.52975,31.8,2273.49175
09.01.2017 08:58:00.000,2273.73725,32.86,2273.52975
09.01.2017 08:59:00.000,2273.78725,29.15,2273.73725
09.01.2017 09:00:00.000,2273.792,33.39,2273.78725
09.01.2017 09:01:00.000,2273.734,36.04,2273.792
09.01.2017 09:02:00.000,2273.54725,35.51,2273.734
09.01.2017 09:03:00.000,2273.75425,56.18,2273.54725
09.01.2017 09:04:00.000,2273.8015,47.7,2273.75425
09.01.2017 09:05:00.000,2273.7295,42.93,2273.8015
09.01.2017 09:06:00.000,2273.60575,34.45,2273.7295
09.01.2017 09:07:00.000,2273.30675,37.1,2273.60575
09.01.2017 09:08:00.000,2273.37425,36.04,2273.30675
09.01.2017 09:09:00.000,2273.207,31.27,2273.37425
09.01.2017 09:10:00.000,2273.22475,37.63,2273.207
09.01.2017 09:11:00.000,2273.17175,40.81,2273.22475
09.01.2017 09:12:00.000,2273.099,20.14,2273.17175
09.01.2017 09:13:00.000,2273.16925,33.39,2273.099
09.01.2017 09:14:00.000,2273.1545,25.97,2273.16925
09.01.2017 09:15:00.000,2273.027,29.15,2273.1545
09.01.2017 09:16:00.000,2272.939,45.58,2273.027
09.01.2017 09:17:00.000,2273.1165,29.15,2272.939
09.01.2017 09:18:00.000,2273.127,39.75,2273.1165
09.01.2017 09:19:00.000,2273.17175,29.15,2273.127
09.01.2017 09:20:00.000,2273.24425,40.81,2273.17175
09.01.2017 09:21:00.000,2273.49425,32.33,2273.24425
09.01.2017 09:22:00.000,2273.6145,25.44,2273.49425
09.01.2017 09:23:00.000,2273.6195,29.15,2273.6145
09.01.2017 09:24:00.000,2273.73,23.85,2273.6195
09.01.2017 09:25:00.000,2273.725,39.22,2273.73
09.01.2017 09:26:00.000,2273.67975,31.8,2273.725
09.01.2017 09:27:00.000,2273.5545,34.45,2273.67975
09.01.2017 09:28:00.000,2273.54675,45.05,2273.5545
09.01.2017 09:29:00.000,2273.7265,40.81,2273.54675
09.01.2017 09:30:00.000,2273.12925,69.96,2273.7265
09.01.2017 09:31:00.000,2272.92675,111.3,2273.12925
09.01.2017 09:32:00.000,2273.12925,91.91,2272.92675
09.01.2017 09:33:00.000,2272.359,114.87,2273.12925
09.01.2017 09:34:00.000,2272.03725,91.69,2272.359
09.01.2017 09:35:00.000,2271.86425,97.96,2272.03725
09.01.2017 09:36:00.000,2270.9415,82.15,2271.86425
09.01.2017 09:37:00.000,2271.18675,76.85,2270.9415
09.01.2017 09:38:00.000,2271.78725,77.91,2271.18675
09.01.2017 09:39:00.000,2272.42225,60.95,2271.78725
09.01.2017 09:40:00.000,2272.599,82.68,2272.42225
09.01.2017 09:41:00.000,2271.80675,83.43,2272.599
09.01.2017 09:42:00.000,2270.6395,95.53,2271.80675
09.01.2017 09:43:00.000,2270.117,96.68,2270.6395
09.01.2017 09:44:00.000,2269.90175,72.08,2270.117
09.01.2017 09:45:00.000,2269.3495,95.79,2269.90175
09.01.2017 09:46:00.000,2269.2565,76.32,2269.3495
09.01.2017 09:47:00.000,2269.3645,73.67,2269.2565
09.01.2017 09:48:00.000,2270.2295,91.16,2269.3645
09.01.2017 09:49:00.000,2270.7945,78.44,2270.2295
09.01.2017 09:50:00.000,2270.837,60.69,2270.7945
09.01.2017 09:51:00.000,2271.17225,64.77,2270.837
09.01.2017 09:52:00.000,2271.552,72.93,2271.17225
09.01.2017 09:53:00.000,2271.8195,67.83,2271.552
09.01.2017 09:54:00.000,2271.8025,78.03,2271.8195
09.01.2017 09:55:00.000,2271.67175,60.18,2271.8025
09.01.2017 09:56:00.000,2271.50175,47.94,2271.67175
09.01.2017 09:57:00.000,2271.49425,69.36,2271.50175
09.01.2017 09:58:00.000,2271.442,52.53,2271.49425
09.01.2017 09:59:00.000,2271.305,54.06,2271.442
09.01.2017 10:00:00.000,2271.644,60.69,2271.305
09.01.2017 10:01:00.000,2271.6715,57.63,2271.644
09.01.2017 10:02:00.000,2271.0865,52.53,2271.6715
09.01.2017 10:03:00.000,2270.44175,84.57,2271.0865
09.01.2017 10:04:00.000,2270.2995,55.08,2270.44175
09.01.2017 10:05:00.000,2270.04425,50.49,2270.2995
09.01.2017 10:06:00.000,2269.6595,67.83,2270.04425
09.01.2017 10:07:00.000,2269.92725,57.63,2269.6595
09.01.2017 10:08:00.000,2270.3845,46.92,2269.92725
09.01.2017 10:09:00.000,2270.247,60.18,2270.3845
09.01.2017 10:10:00.000,2269.91425,65.79,2270.247
09.01.2017 10:11:00.000,2269.69475,71.37,2269.91425
09.01.2017 10:12:00.000,2269.88425,59.16,2269.69475
09.01.2017 10:13:00.000,2270.03175,49.47,2269.88425
09.01.2017 10:14:00.000,2270.047,41.82,2270.03175
09.01.2017 10:15:00.000,2269.7895,54,2270.047
09.01.2017 10:16:00.000,2270.259,61.2,2269.7895
09.01.2017 10:17:00.000,2270.912,60.18,2270.259
09.01.2017 10:18:00.000,2270.882,55.08,2270.912
09.01.2017 10:19:00.000,2270.9195,64.26,2270.882
09.01.2017 10:20:00.000,2271.38925,69.36,2270.9195
09.01.2017 10:21:00.000,2271.78975,54.57,2271.38925
09.01.2017 10:22:00.000,2271.85475,59.67,2271.78975
09.01.2017 10:23:00.000,2271.9145,53.55,2271.85475
09.01.2017 10:24:00.000,2271.98225,49.47,2271.9145
09.01.2017 10:25:00.000,2271.859,60.18,2271.98225
09.01.2017 10:26:00.000,2271.419,55.83,2271.859
09.01.2017 10:27:00.000,2271.47475,66.81,2271.419
09.01.2017 10:28:00.000,2271.542,41.82,2271.47475
09.01.2017 10:29:00.000,2271.73675,53.28,2271.542
09.01.2017 10:30:00.000,2271.67475,69.87,2271.73675
09.01.2017 10:31:00.000,2271.65225,57.12,2271.67475
09.01.2017 10:32:00.000,2271.6695,48.18,2271.65225
09.01.2017 10:33:00.000,2271.982,38.76,2271.6695
09.01.2017 10:34:00.000,2272.03675,54.57,2271.982
09.01.2017 10:35:00.000,2271.48425,48.15,2272.03675
09.01.2017 10:36:00.000,2271.3695,51.24,2271.48425
09.01.2017 10:37:00.000,2271.43925,59.91,2271.3695
09.01.2017 10:38:00.000,2271.487,53.04,2271.43925
09.01.2017 10:39:00.000,2271.682,51.72,2271.487
09.01.2017 10:40:00.000,2271.85975,56.61,2271.682
09.01.2017 10:41:00.000,2272.004,60.18,2271.85975
09.01.2017 10:42:00.000,2271.84675,60.9,2272.004
09.01.2017 10:43:00.000,2272.37675,47.94,2271.84675
09.01.2017 10:44:00.000,2272.312,52.5,2272.37675
09.01.2017 10:45:00.000,2271.892,54.78,2272.312
09.01.2017 10:46:00.000,2271.55425,47.94,2271.892
09.01.2017 10:47:00.000,2271.522,39.27,2271.55425
09.01.2017 10:48:00.000,2271.93225,52.02,2271.522
09.01.2017 10:49:00.000,2272.3265,52.53,2271.93225
09.01.2017 10:50:00.000,2272.882,50.22,2272.3265
09.01.2017 10:51:00.000,2273.4395,63.24,2272.882
09.01.2017 10:52:00.000,2273.85975,53.79,2273.4395
09.01.2017 10:53:00.000,2273.9295,48.69,2273.85975
09.01.2017 10:54:00.000,2274.02675,56.85,2273.9295
09.01.2017 10:55:00.000,2274.047,48.96,2274.02675
09.01.2017 10:56:00.000,2274.102,62.97,2274.047
09.01.2017 10:57:00.000,2274.2245,37.23,2274.102
09.01.2017 10:58:00.000,2274.33925,20.91,2274.2245
09.01.2017 10:59:00.000,2274.512,32.64,2274.33925
09.01.2017 11:00:00.000,2273.7575,28.56,2274.512
09.01.2017 11:01:00.000,2273.4595,22.95,2273.7575
09.01.2017 11:02:00.000,2273.55425,17.85,2273.4595
09.01.2017 11:03:00.000,2273.564,19.38,2273.55425
09.01.2017 11:04:00.000,2273.41675,20.91,2273.564
09.01.2017 11:05:00.000,2273.33975,28.05,2273.41675
09.01.2017 11:06:00.000,2273.65475,23.46,2273.33975
09.01.2017 11:07:00.000,2273.9245,27.03,2273.65475
09.01.2017 11:08:00.000,2274.35675,23.97,2273.9245
09.01.2017 11:09:00.000,2274.3625,25.5,2274.35675
