_unit_id,headline,articleid,date,text
842617107,"bentsen-won't-rule-out-delay-in-tax-increase-----postponing-levy-on-income-may-not-be-necessary,-treasury-secretary-says",wsj_398307943,1993-02-22,"WASHINGTON -- Treasury Secretary Lloyd Bentsen said the Clinton administration is willing to consider delaying its proposed increases in personal income taxes to shield the economy from harm this year, but said he doubts that will be necessary.
President Clinton's economic plan calls for making the increases in income-tax rates for upper-income Americans retroactive to Jan. 1, 1993. Mr. Bentsen indicated some congressional Democrats fear such a move could interfere with Mr. Clinton's goal of creating 500,000 jobs this year.
Mr. Bentsen said the discussions with lawmakers, however, don't anticipate any delay in the increase in the corporate income tax, which would also be retroactive to Jan. 1. Jobs Are Paramount ""What we want to be sure of is that we achieve the 500,000 jobs,"" Mr. Bentsen said in an interview yesterday. Although expressing a willingness to consider the congressional concerns, Mr. Bentsen said he believes the recent decline in long-term interest rates would more than compensate for any slowing of the economy that might be caused by the higher tax rates.
Lower interest rates encourage businesses and consumers to borrow and spend, and Mr. Bentsen said the decline in interest rates in response to the Clinton plan has been ""more than I anticipated."" On Friday, the yield on the benchmark 30-year Treasury bond dropped to 7%, its lowest mark since the government began issuing the bonds regularly in 1977.
Delaying the effective dates of the new 36% and 39.6% marginal income tax rates for a year would reduce by about $10 billion the revenue Mr. Clinton's plan would produce. But Mr. Bentsen said the administration would move up the effective dates of other tax increases to compensate so that it could still reach its 1997 deficit-reduction goal. The new energy tax, for instance, could be phased in more rapidly; currently, it is to be phased in over three years beginning July 1, 1994."
842617324,u.s.-news:-consumer-caution-dents-retailers'-holiday-hopes,wsj_1612181945,2014-10-16,"A downturn in consumer spending threw a new domestic worry into mounting global turmoil, threatening to again undercut hopes for a breakout performance in the U.S. economy.
Retail sales fell 0.3% in September, the Commerce Department said Wednesday. The broad-based decline came alongside weakening consumer confidence and minimal wage growth that has weighed on the recovery in recent years.
While spending at retailers is up 4.3% from a year earlier, double the pace of inflation, the September stumble continues a choppy pattern that shows many Americans are cautious heading into the holiday shopping season.
""We're still trudging along, but not at the accelerating pace that we'd like to see,"" said Moody's Analytics economist Scott Hoyt. The data don't change expectations for modest U.S. growth in gross domestic product, ""but it's a cautionary note.""
September's reading also could be reversed or revised next month. A slowdown from strong summer auto sales, falling gasoline prices and the timing of Apple Inc.'s iPhone 6 release all played a role in the latest data. Earlier concerns of a consumer slowdown in July were eased when sales for that month were revised up to a respectable 0.3% gain from an initial flat reading."
842615686,crisis-on-wall-street:-hartford-allays-concerns-and-stock-doubles,wsj_399119572,2008-12-06,"Life-insurance stocks climbed sharply, when Hartford Financial Services Group Inc. became the second big insurer this past week to allay investors' concerns that it might have to raise additional capital.
The company, whose shares doubled to $14.59 Friday on the New York Stock Exchange, said it had ample resources to maintain its financial-strength ratings even if the stock market worsens.
Shares of life insurers have been widely sold off in recent months because of concerns about steep investment-portfolio losses and charges against earnings tied to their businesses of selling variable annuities with guaranteed minimum returns. Investors have worried that insurers will be hard-pressed to come up with additional capital they may need to show regulators they can deliver on promises to consumers.
""The Hartford is well capitalized with ample liquidity,"" Chief Executive Ramani Ayer told investors in a presentation Friday.
Lizabeth Zlatkus, Hartford's chief financial officer, said that the falling stock market could trigger a big charge on the company's variable-annuity business but that the company has access to sufficient capital to retain its ratings under various bearish scenarios. Those include a drop in the Standard & Poor's 500-stock index to 700. The index finished Friday at 876.07. (At Dec. 31, 2007, it stood at 1468.)"
842616082,1995-year-end-review-of-markets-and-finance-----review-of-markets:-programs-made-up-11.3%-of-volume-on-big-board-in-'95,wsj_398519963,1996-01-02,"NEW YORK -- Program trading on the New York Stock Exchange accounted for 11.3% of overall volume in 1995, or an average of 39.7 million daily shares.
It was the most active year, in terms of volume, for the computer-aided trading activity that critics blame for causing artificially sharp moves in the market. But because overall volume also soared on the exchange, the percentage figure of 11.3% wasn't a record; indeed, it represented a decline from last year's 11.6%. (The record was 11.9% in 1993.)
The Big Board has released program-trading data since mid-1988, in response to an outcry over the multistock trading activity and its role in the 1987 stock-market crash. Program trading is defined as the buying or selling of a group of at least 15 different stocks valued at a total of $1 million or more.
The five most active program-trading firms in 1995 through the end of September, the latest numbers available, were Morgan Stanley Group Inc.; First Options; the U.S. unit of Japan's Nomura Securities; CS First Boston, a unit of CS Holding; and Salomon Inc.'s Salomon Brothers unit.
The best-known form of program trading is index arbitrage, in which traders buy and sell baskets of stocks with offsetting trades of futures and options. In 1995, such trading accounted for 30.3% of overall program trading, down from nearly 39% in 1994."
842616165,"glenn-hubbard:-the-romney-plan-for-economic-recovery;-tax-cuts,-spending-restraint-and-repeal-of-obama's-regulatory-excesses-would-mean-12-million-new-jobs-in-his-first-term-alone.",wsj_1030445782,2012-08-01,"We are currently in the most anemic economic recovery in the memory of most Americans. Declining consumer sentiment and business concerns over policy uncertainty weigh on the minds of all of us. We must fix our economy's growth and jobs machine.
We can do this. The U.S. economy has the talent, ideas, energy and capital for the robust economic growth that has characterized much of America's experience in our lifetimes. Our standard of living and the nation's standing as a world power depend on restoring that growth.
But to do so we must have vastly different policies aimed at stopping runaway federal spending and debt, reforming our tax code and entitlement programs, and scaling back costly regulations. Those policies cannot be found in the president's proposals. They are, however, the core of Gov. Mitt Romney's plan for economic recovery and renewal.
In response to the recession, the Obama administration chose to emphasize costly, short-term fixes--ineffective stimulus programs, myriad housing programs that went nowhere, and a rush to invest in ""green"" companies.
As a consequence, uncertainty over policy--particularly over tax and regulatory policy--slowed the recovery and limited job creation. One recent study by Scott Baker and Nicholas Bloom of Stanford University and Steven Davis of the University of Chicago found that this uncertainty reduced GDP by 1.4% in 2011 alone, and that returning to pre-crisis levels of uncertainty would add about 2.3 million jobs in just 18 months."
830984015,president-ties-social-security's-future-to-stocks;-market-experts-mostly-bullish-on-proposal's-impact-on-wall-st.,wapo_408434338,1999-01-20,"President Clinton's proposal to have a small percentage of Social Security money invested in the stock market could be just the tonic Wall Street needs to keep its bullish streak running into the 21st century.
At least that's the conviction of market watchers, who note with glee how the invention of individual retirement accounts and 401(k) accounts have transformed the markets in the past two decades. Last year, almost $20 billion a month in new money flowed into the stock market from mutual funds.
But some experts caution that such a huge shift could further pump up stock prices that some already consider inflated, while possibly hurting the bond market.
Clinton is proposing diverting 62 percent of an anticipated $4 trillion federal budget surplus over the next 15 years to Social Security, then investing less than one-quarter of that amount in the equity markets instead of Treasury securities, in which the fund now invests.
Clinton also wants to take another 11 percent of the budget surplus to establish ""universal savings accounts,"" which would be similar to the 401(k) accounts that many employers offer. Together, the two proposals could add as much as $6.5 billion or so a month to the market."
842615434,"stock,-bond-prices-fall;-dollar-soars-----big-swings-continue-as-investors-conclude-fed-won't-cut-rates",wsj_398186062,1991-04-23,"Stock prices continued a rapid retreat, joined by bonds. The U.S. dollar continued to rocket higher.
The Dow Jones Industrial Average tumbled 37.87 points to 2927.72 in active trading. The big drop was the second in as many trading days, and pulled the average more than 75 points below last week's record 3004.46.
Meanwhile, the dollar forged ahead to a 16-month high against the German mark, continuing the remarkable rally that began Thursday. Bond prices sank as traders anticipated big debt sales by Uncle Sam. The 30-year U.S. Treasury bond dropped nearly five-eighths of a point, or about $6.25 of each $1,000 face amount.
Analysts said the growing realization among investors that the Federal Reserve isn't likely to push short-term interest rates lower soon is behind the big moves in both stocks and the dollar. Without Fed action, many investors doubt a U.S. economic rebound will start soon or be very robust.
At the same time, the Fed's reluctance to lower short-term rates while interest rates abroad are falling makes the returns available in the U.S. more attractive to foreign investors, thus contributing to the strength of the U.S. currency."
842614801,ahead-of-the-tape,wsj_399018136,2007-06-18,"What If
Spending
Doesn't Slow?
Market pundits spend a lot of time worrying about what will happen to the U.S. economy if consumer spending suddenly slows. Maybe it's time to worry about what will happen if it doesn't.
Economic growth has been sluggish for much of the past year, thanks largely to the housing downturn. Consumers have kept on spending, and they have helped to keep the economy on an even keel. Economic output grew at an annual rate of just 0.6% in the first quarter. Had it not been for a 4.4% rate of increase in consumer outlays, the economy likely would have contracted."
830984763,home-sales-rise-by-8-percent;-increase-is-largest-in-nearly-5-years,wapo_307376736,1991-03-26,"Sales of existing homes shot up 7.9 percent in February, the first increase since November and the biggest in nearly five years, giving some private economists hope that a housing rebound may herald the end of the recession.
The National Association of Realtors said yesterday that the February increase put sales of existing, single-family homes at a seasonally adjusted annual rate of 3.13 million units.
The February bounce, which essentially erased a 7.3 percent plunge in January, was attributed to falling home prices and lower mortgage rates luring buyers back into the market following the end of the Persian Gulf War.
""After months of sputtering, it looks as though many markets across the nation have passed their low point and are regaining strength. People are ready to buy,"" said Harley Rouda, NAR president.
However, analysts were not as upbeat about reports on car sales in mid-March, which showed sales for the two biggest companies, General Motors Corp. and Ford Motor Co., down substantially from the same period a year ago."
842616290,"j.p.-morgan,-bank-one,-mellon-rise-on-fleet-deal,-as-market-soars",wsj_398680552,1999-03-16,"NEW YORK -- Merger news animated banking and technology, and optimism about earnings fired up transports, sending market averages to new highs, though not to widely anticipated milestones.
Banking names such as J.P. Morgan, which improved 3 3/8 to 125 3/8, Bank One, which rose 2 1/8 to 57 1/16, and Mellon Bank, which gained 2 9/16 to 73 1/2, all moved higher after Fleet Financial and BankBoston announced plans for a $16 billion combination.
Meanwhile, technology stocks improved on merger hopes, as well. CMGI shot up 28 5/8 to 192 5/8 on the Nasdaq Stock Market, after reports over the weekend in the Boston Globe indicated the Internet marketing and investment concern expects to lure other bids for Lycos, the Internet concern it holds a piece of. Lycos climbed 7 1/8 to 105 3/4 on Nasdaq, while a host of other Internet names advanced.
""The strength of CMGI helped the whole group,"" said Tim Grazioso, Nasdaq-trading manager at Cantor Fitzgerald.
The Dow Jones Industrial Average rose 82.42, or 0.83%, to finish at 9958.77, its highest close ever, and first above 9900."
