_unit_id,headline,articleid,date,text
842613731,"consumers-grow-more-upbeat,-nudging-up-sales-at-retailers",wsj_398890753,2004-11-15,"With oil prices easing and the uncertainties of the election past, U.S. consumers show early signs of becoming more confident about the economic outlook.
The University of Michigan's consumer-sentiment index -- based on surveys conducted before and after the Nov. 2 election -- rose to a reading of 95.5 from 91.7 in October and 94.2 in September. In addition to the drop of oil prices below $50 a barrel and the resolution of a bitterly fought presidential campaign, the government reported recently that hiring in October was stronger than expected, all factors that should underpin confidence.
""Consumers will remain spending-minded,"" said Richard Curtin, the Michigan economist who oversees the confidence survey. He said the recent decline in oil prices was probably the key factor behind the improvement.
Households were spending-minded in October, though their pattern of spending showed signs of changing from the month before. The U.S. Commerce Department said retail sales in October rose 0.2% from September on a seasonally adjusted basis, after a 1.6% jump the month before. The back-to-back gains put household consumption on solid footing going into the holiday season.
One retailer that enjoyed steady gains in spending was Men's Wearhouse Inc., a Houston seller of men's suits with an average price of about $280. The retailer reported a hearty 8.9% increase in domestic same-store sales last month from a year earlier. ""Our business is kind of to the masses, to the middle-market kind of guy. I think he's doing fine,"" said Neill Davis, chief financial officer."
830982053,"a-healthy-economy,-a-happy-governor",wapo_408382624,1998-05-07,"Good economies make good politics. That's what Gov. Parris N. Glendening is finding as he stumps the state, touting rosy revenue and employment statistics while his opponents grumble and try to change the subject.
Last week in Baltimore, Glendening (D) spoke before hundreds of people at the 14th annual Small Business Awards Breakfast. He briefly highlighted his administration's accomplishments, then added a bit of news: Maryland's unemployment rate had fallen to 4.6 percent, the lowest level in years and somewhat below the national average of 5 percent.
""Unemployment was down in every single jurisdiction in this state,"" the governor said. Sitting seven seats to Glendening's left at the head table was Baltimore Mayor Kurt L. Schmoke (D), who last month defected from the governor's camp and endorsed a rival for the Democratic gubernatorial nomination. And quietly sitting at another table, nearly lost in the huge hotel ballroom, was that very candidate: Harford County Executive Eileen M. Rehrmann.
Schmoke followed Glendening at the microphone and noted that Rehrmann and a few other elected officials were in the audience. He also praised the state economy and added: ""This breakfast is also a tribute to our country.""
As Schmoke walked back to his chair, Glendening rose and shook his hand. The two men spoke quietly as the program continued, then parted with big smiles."
842617315,"unemployment-edges-up-but-still-is-low-----slowing-economy-takes-toll,-but-data-show-weather-is-playing-a-bigger-role",wsj_398819085,2001-02-05,"WASHINGTON -- America's extraordinarily low unemployment rate is beginning to feel pressure from the sharp economic slowdown, but not enough to prove the entire economy has followed manufacturing into recession.
The unemployment rate edged up to 4.2% in January, its highest level since September 1999 but only a bit above the near-30-year low of 4% in December, the Department of Labor said Friday. In January, the labor pool expanded faster than the number of new jobs that were created.
Payrolls outside of farming jumped 268,000 in January, adjusted for seasonal variation, well above what economists expected, and a big improvement over the tiny increase of 19,000 jobs in December. That increase was revised down sharply from an original estimate of 105,000. The January data suggest that employment, especially in construction where 145,000 jobs were added, had been unusually depressed by bad weather in December.
The report was the first comprehensive look at the entire economy for January. Previous reports had found that the industrial sector's decline accelerated during the month, and the payroll report provided further confirmation. Manufacturing jobs sank by 65,000, bringing total losses in that sector to 254,000 since June. But employment in retail trade, government and other services rose 183,000.
""It's clear you have a dichotomy between manufacturing and the rest of the economy,"" said Michael Prell, an economic consultant in Arlington, Va., noting that service-sector employment would have been higher but for the loss of jobs at temporary-help agencies, many of which were actually at manufacturing companies."
830982094,market-is-pounded;-dow-plunges-16.85,wapo_148475339,1973-02-15,"NEW YORK, Fob. 14 fAP) â€” Stock market prices took a pounding today as investors apparently lost their enthusiasm over efforts to resolve international monetary troubles.
The Dow Jones average of 30 industrial stocks plunged 1685 points, declining steadily throughout the day to a 979.91 close. Declining issues far outpaced gainers, 1.202 to 306. among the 1.807 issues traded on the New York Stock Exchange.
The Amex price-change index fell .14 to 25 47, while losers topped winners by 646 to 263 among the 1.185 Amex issues traded. Volume sank to 2.96 million shares, versus 4.45 million Tuesday.
In Over-the-Counter trading, the NASDAQ composite index fell 1.77 to 125.42, while the industrial index dropped 1.56 to 124.41.
CN'A Financial was the Big Boardâ€™s volume leader today, losing 54 to 16% after a giant 911.400-share block changed hands at 16Vi. It was the 15th-largest block transaction ever recorded at the exchange."
830985624,the-great-terror;-a-massive-new-history-of-hitler's-tyranny.,wapo_409899125,2006-01-29,"Looking at the enormous -- and incessant -- tide of books and articles written about Hitler and the Third Reich, we may note an interesting discrepancy. The majority of non-German historians and authors have devoted and are still devoting their main interests to Hitler's war and crimes, to the second six years of the Reich, 1939- 45. The majority of German historians and authors have devoted their main interests to topics and themes about the first six years, 1933- 39. This is understandable. In 1939 Hitler chose war, with the results of total defeat for Germany and Germans. But what led up to that? What happened to the German people before that fatal turning point?
The Third Reich in Power is Richard J. Evans's attempt to answer many of those questions through historical synthesis. The second part of this British historian's planned three-volume history of Nazi Germany, it is crammed with information (data, statistics, official and private records and reminiscences), sustained by the author's knowledge of German and his acquaintance with all kinds of German sources, many of them relatively recent ones. This heavy volume amounts to something like a massive handbook of a very big subject. It consists of seven large parts, made up of four chapters each, moving from the history of the Nazi police state to that of propaganda, religion, artistic and intellectual life, economy and finance, class structure, Jews and finally ""The Road to War"" -- that is, Hitler's foreign policy.
Yet there are things wrong with both the content and the writing of this massive book. Its long chapters about economics, finance and nationalization of German industry, detailing their difficulties, miss the essence of Hitler's thinking. ""Why should I nationalize the industry?"" he once said. ""I shall nationalize the people"" -- which is what he did (alas, quite successfully). Compared to that, Evans's citing of the occasional private grumblings of industrialists such as Gustav Krupp are largely devoid of meaning.
His judgments are sometimes contradictory. On page 370, he writes that ""the economy was clearly in no shape to sustain a prolonged conflict in 1938-1939."" (""Clearly""? And did Hitler plan for ""a prolonged conflict""?) But on page 409, he states that ""the economy had recovered from the Depression faster than its counterparts in other countries. Germany's foreign debt had been stabilized, interest rates had fallen to half their 1932 level, the stock exchange had recovered from the Depression, the gross national product had risen by 81 per cent over the same period. . . . Inflation and unemployment had been conquered."" Another contradiction: ""Everything that happened in the Third Reich took place in this pervasive atmosphere of fear and terror, which never slackened and indeed became far more intense towards the end."" Yet on many other pages, Evans mentions umpteen examples of the regime relenting its pressures for tactical purposes (for example, before and during the 1936 Berlin Olympics).
This heavy book is chock-full with statistics. Yet there is no mention of such very telling numbers as the increase in German marriages from about 511,000 in 1932 to 611,000 in 1936; the jump from 921,000 births in 1932 to 1,280,000 in 1936, meaning that for every two children born in Germany in 1932, three were born just four years later; the fact that in 1938 and 1939, most marriages in all of Europe were registered in Germany, exceeding the numbers among even the prolific people of Eastern Europe; or the statistic that suicides committed by young people under 20 dropped by 80 percent (!) during the first six years of the Hitler regime -- all symptoms of a great and ominous rise of German national confidence."
842613916,"leading-indicators-fell-last-month;-decline-is-fourth-in-a-row;-hurricanes,-high-oil-prices-slowed-growth-of-economy",wsj_398985248,2004-10-22,"WASHINGTON -- The Conference Board's composite index of leading indicators slipped in September for the fourth straight month, signaling that the economic soft patch will persist.
Separately, the U.S. Labor Department reported that the number of workers filing first-time applications for unemployment benefits dropped by an unexpectedly steep 25,000 last week, a decline that may have been skewed by the holiday-shortened week.
The Conference Board, a private research group in New York, reported that its composite index of leading indicators fell by 0.1% to a reading of 115.6 in September, after August's 0.3% decline. The slightness of the declines in the past four months seems to argue against invoking the economists' rule of thumb that three consecutive declines in the index signal a recession.
""While the leading index is not yet signaling a downturn, the growth rate of the leading index has slowed,"" said Ken Goldstein, an economist with the Conference Board. Economic growth should continue, but more slowly than expected, he added. The index is designed to predict the economy's path during the next three to six months.
Oil prices have had a negative impact on the economy, but not enough to produce a broad spike in inflation. Recent hurricanes may also have held down economic activity, the Conference Board said."
830983433,"across-the-board,-mortgage-rates-dip-slightly",wapo_410365520,2010-01-30,"Rates on 30-year mortgages remained almost flat this week as the Federal Reserve said it would keep interest rates near record lows to help the economy recover.
The average rate on a 30-year, fixed-rate mortgage was 4.98 percent this week, down from 4.99 percent last week, Freddie Mac said Thursday. Last year at this time, the average rate for a 30-year fixed mortgage was 5.10 percent.
Rates are still above the record low of 4.71 percent set in early December. They've been held around 5 percent by a Federal Reserve program to pump $1.25 trillion into mortgage-backed securities to try to keep home-loan rates low, making home buying more affordable.
On Wednesday, the Fed said it still expects to end the program as scheduled on March 31. However, the central bank did say that it remains open to changing the timetable if necessary.
The average rate on 15-year, fixed-rate mortgages fell slightly, to 4.39 percent from 4.40 percent. Rates on five-year, adjustable-rate mortgages averaged 4.25 percent, down from 4.27 percent. Rates on one-year ARMs dropped to 4.29 percent from 4.32 percent."
830981793,"economy-is-still-weak,-fed-finds",wapo_307485623,1992-01-23,"The U.S. economy remained ""lackluster"" at the beginning of this month, with factory output and jobs steady or declining, retailers selling little more than they did a year earlier and banks finding little new demand for loans, the Federal Reserve said yesterday.
About the only bright spots the Fed found in the latest of its periodic nationwide surveys of business and banking conditions were growing orders for U.S. exports, a modest gain in new home building and a rush by homeowners to refinance their mortgages.
Otherwise, the president and Congress, who are under increasing pressure to take action to boost growth, can expect little help from natural economic forces until midyear, the survey indicated. Executives questioned by the Fed's 12 regional banks said they ""generally anticipate that economic conditions will improve by midyear.""
The year-end gain in housing found by the survey was mirrored in a Commerce Department report yesterday that showed housing starts rose 2.6 percent last month, to a seasonally adjusted annual rate of 1.103 million units. The December figure was 30 percent higher than last January's recession low, which amounted to an annual rate of only 847,000 units.
For all of 1991, however, housing starts totaled 1.015 million units, down nearly 15 percent from 1990, and the lowest figure since the end of World War II."
842614740,ahead-of-the-tape,wsj_398964729,2003-07-21,"[Today's Market Forecast]
Number Crunching
Stock prices are higher, the merger market is percolating, and bonds are in retreat. The bulls are starting to show teeth in their widening grins.
But Richard Bernstein, a longtime bear, can't quite believe it. The Merrill Lynch strategist, trained in the quantitative arts, sees red flags for stocks every time he cranks up his computer. Valuations are historically high. In May and June, nearly two-thirds of the economic reports he tracks came in below the consensus forecast. Most troubling, inflation barometers are losing momentum, and his calculations hint earnings growth may already have peaked. These findings would shock the smiling bulls.
""People aren't really looking at the data,"" Mr. Bernstein says. ""Instead, stocks are reacting to the Greenspan put [low short-term rates], the Bush put [hyperactive fiscal policy] and an overwhelming fear of getting left behind."""
842616802,the-jobs-report:-economic-benchmark-proves-hard-to-gauge,wsj_822796862,2011-01-08,"Friday's official report on the U.S. labor market was a contrast with other data suggesting stronger improvement last month. What's behind the disparities?
Much of the difference comes down to how the employment surveys are conducted and the problems that stem from producing estimates so quickly after the month ends.
The Labor Department's report is drawn from two separate surveys, one looking at workers in households (to determine the unemployment rate, among other measures) and the other looking at payrolls for businesses (to provide figures on job creation). They don't always match up because they are based on different samples, but in the long run they tend to line up fairly closely. The December payroll survey released Friday showed a modest gain of 103,000 jobs. But the prior two months were revised up by 70,000 jobs. The surprisingly weak November figure moved from a gain of 39,000 jobs, as reported last month, to a gain of 71,000 jobs.
Why such a large jump in the revision? The estimates for job creation are drawn from a fairly large sample size. The Bureau of Labor Statistics, a unit of the Labor Department, samples about 140,000 businesses and government agencies representing roughly 410,000 work sites.
But all the surveys don't come back in time for the government to release its initial estimate, usually on the first Friday of the next month. As more results come in, the estimates become more reliable. Labor updates data for the prior two months before considering it final. It also does annual revisions of those figures to account for the creation of new businesses -- a development that is hard to measure during turning points in the economy as companies are shutting down or starting up."
