_unit_id,articleid,positivity
842617107,wsj_398307943,0
842617324,wsj_1612181945,-1
842615686,wsj_399119572,-1
842616082,wsj_398519963,1
842616165,wsj_1030445782,-1
830984015,wapo_408434338,-1
842615434,wsj_398186062,-1
842614801,wsj_399018136,0
830984763,wapo_307376736,-1
842616290,wsj_398680552,0
830983826,wapo_409050446,-1
842616393,wsj_237995153,0
842615152,wsj_398855596,1
842614602,wsj_398061721,0
842614830,wsj_398831897,1
842616202,wsj_397886213,1
842616087,wsj_1474105689,-1
830985122,wapo_148448523,1
842613772,wsj_398568693,0
842617166,wsj_398816062,0
842614158,wsj_1468847047,0
842617303,wsj_398284733,-1
842616567,wsj_398183316,0
842614543,wsj_399071945,-1
830982588,wapo_307770405,-1
830983178,wapo_152407219,1
830983104,wapo_408343071,-1
842614064,wsj_398976806,-1
842617079,wsj_870309219,-1
830984131,wapo_140571949,-1
842614895,wsj_1432608544,-1
830982443,wapo_307374236,-1
830984525,wapo_148783272,-1
842613529,wsj_398095677,0
842616896,wsj_398538905,-1
842614593,wsj_1034728652,0
842613557,wsj_863851275,-1
842615174,wsj_1036865147,0
842613628,wsj_398448302,0
842615706,wsj_398489549,0
842613849,wsj_851637114,1
830984261,wapo_410108044,1
842614284,wsj_398930204,-1
830985012,wapo_307063980,1
842614162,wsj_398825874,0
842613865,wsj_398682668,1
842614697,wsj_399031107,0
830984161,wapo_306922737,-1
830984678,wapo_141595976,0
842615576,wsj_395219023,0
842616839,wsj_398951494,1
842614184,wsj_398368389,1
842616184,wsj_399130236,1
842613695,wsj_399112458,1
842614181,wsj_398908347,-1
842614062,wsj_1223519664,0
842617435,wsj_762234420,-1
842614125,wsj_398054037,1
842617189,wsj_398110109,-1
842617065,wsj_893845107,1
842614660,wsj_398774558,1
830982484,wapo_140426204,-1
842615438,wsj_399073531,-1
842613824,wsj_399117207,-1
842616708,wsj_397901984,1
842614151,wsj_398656435,1
842616851,wsj_399107829,-1
842613738,wsj_357035472,-1
830983563,wapo_307183874,0
842615723,wsj_398045519,-1
830982108,wapo_307407371,0
842616163,wsj_398715004,1
830985276,wapo_143678163,-1
830982943,wapo_409494865,0
842613831,wsj_397919466,0
842615342,wsj_398206106,-1
842616905,wsj_1513735775,0
842615410,wsj_398339485,-1
842615647,wsj_398100674,1
830982648,wapo_307249929,1
842616507,wsj_398903824,-1
842616677,wsj_398831849,-1
842616486,wsj_896452231,-1
830984599,wapo_139864029,0
842615400,wsj_398221626,-1
830984119,wapo_147292315,0
830984859,wapo_307077195,0
830985097,wapo_146409681,1
842614468,wsj_398502841,-1
842616144,wsj_398067600,-1
830981773,wapo_143645870,0
842613943,wsj_398008991,1
842613512,wsj_398020636,1
842615778,wsj_399005253,0
830982129,wapo_147594833,-1
842614831,wsj_398402974,-1
830984376,wapo_307344142,-1
830982335,wapo_148558694,-1
842615871,wsj_398432225,-1
842615591,wsj_398340752,1
842615993,wsj_397991075,0
842617164,wsj_398950827,0
842616812,wsj_1495450932,-1
842614954,wsj_398251754,0
842614394,wsj_398881389,-1
842614707,wsj_398804435,-1
842613650,wsj_398060246,0
842616332,wsj_397862493,-1
842613553,wsj_398985731,-1
830985086,wapo_409108136,-1
842613946,wsj_1015266922,0
842613487,wsj_878701005,-1
830984369,wapo_1033973987,0
842616681,wsj_399006926,1
842615572,wsj_398144177,1
842613875,wsj_398922435,0
830983240,wapo_143635255,0
842613559,wsj_399011767,-1
842613475,wsj_237984569,1
842614795,wsj_398853338,1
830982972,wapo_142485213,0
842616279,wsj_398692612,0
830982355,wapo_146820648,0
842615249,wsj_821971233,-1
842615551,wsj_398463626,-1
830985138,wapo_139595983,0
842614103,wsj_398379080,-1
830983508,wapo_147572977,1
842614461,wsj_398333872,-1
842616497,wsj_398104348,0
842617263,wsj_397953827,0
842615920,wsj_1542903866,1
842617380,wsj_963674596,-1
830982150,wapo_410016816,0
842616585,wsj_398933396,-1
842614305,wsj_398130162,0
830984720,wapo_375010365,1
842614021,wsj_398510796,0
842613518,wsj_756064129,-1
830984660,wapo_146962129,-1
842616473,wsj_874293094,-1
830984829,wapo_142041225,1
842614401,wsj_398840967,-1
842617040,wsj_399064554,1
842615354,wsj_929083823,0
842615685,wsj_398465507,1
842613568,wsj_398961634,1
842616933,wsj_398249741,1
830983722,wapo_408352418,-1
830985605,wapo_307364872,0
842613823,wsj_397935409,-1
842615541,wsj_398886234,-1
830985264,wapo_410303335,0
842614677,wsj_398653519,1
830983363,wapo_140717609,-1
842615315,wsj_399061413,0
842615177,wsj_909817496,1
842615158,wsj_398084119,-1
842616866,wsj_398176556,-1
830984021,wapo_142302585,1
842615690,wsj_398937046,-1
830984474,wapo_146845263,1
842616266,wsj_398674016,1
842613844,wsj_398943624,-1
830984077,wapo_408523708,0
842617249,wsj_398113307,-1
842615963,wsj_397975015,0
842616523,wsj_398019455,1
830984581,wapo_307533688,0
842617035,wsj_1368662947,-1
830981784,wapo_307829944,0
842617438,wsj_398728895,0
830982212,wapo_306975678,0
842617185,wsj_398146760,-1
830982917,wapo_410178135,0
830985475,wapo_409728866,0
842613993,wsj_398098818,0
842616065,wsj_89283547,1
842615919,wsj_398252476,0
830982822,wapo_147408634,0
842615601,wsj_398694479,-1
842617292,wsj_398696741,1
842613573,wsj_758708894,0
842616315,wsj_395194867,1
830983351,wapo_409796759,1
830983848,wapo_410244720,-1
842614865,wsj_399037160,0
842615314,wsj_399056846,-1
842616902,wsj_398074559,-1
842614898,wsj_1350241116,0
842615908,wsj_398798926,-1
830984583,wapo_1458140146,0
830985385,wapo_409801499,-1
842615414,wsj_398172949,0
830982280,wapo_750972329,1
842616276,wsj_398699959,1
842617399,wsj_398694065,-1
830982017,wapo_138400058,-1
830984483,wapo_139477639,-1
842613821,wsj_1426650081,0
